lote_id,fecha_inicio,fecha_fin,actividad,area,duracion_min,rendimiento_kg,humedad_pct,defectos_kg,motivo_parada,operadores,notas
L-1001,2025-09-28T16:36:55.296317,2025-09-28T17:08:55.296317,Limpieza,Acondicionamiento,32,1008,12.68,0,,2,
L-1001,2025-09-28T17:50:55.296317,2025-09-28T18:13:55.296317,Control-Materia-Prima,Acondicionamiento,23,984,12.29,0,,2,
L-1001,2025-09-28T18:53:55.296317,2025-09-28T19:40:55.296317,Preparacion-Alimentacion-Molinos,Molienda,47,1041,10.31,0,,2,
L-1001,2025-09-28T20:33:55.296317,2025-09-28T22:30:55.296317,Molienda,Molienda,117,933,8.37,0,,4,
L-1001,2025-09-28T22:41:55.296317,2025-09-28T23:07:55.296317,Control-Calidad-Molienda,Molienda,26,915,13.96,0,,6,
L-1001,2025-09-28T23:19:55.296317,2025-09-28T23:36:55.296317,Preparacion-Dosificacion,Envasado,17,939,11.59,0,,3,
L-1001,2025-09-29T00:17:55.296317,2025-09-29T00:52:55.296317,Sellado-Etiquetado,Envasado,35,891,9.72,0,,1,
L-1002,2025-10-06T06:37:55.296317,2025-10-06T07:01:55.296317,Limpieza,Acondicionamiento,24,872,13.37,0,,4,
L-1002,2025-10-06T07:50:55.296317,2025-10-06T08:13:55.296317,Control-Materia-Prima,Acondicionamiento,23,960,10.81,0,,5,
L-1002,2025-10-06T08:35:55.296317,2025-10-06T09:17:55.296317,Preparacion-Alimentacion-Molinos,Molienda,42,1044,11.76,0,,2,
L-1002,2025-10-06T09:36:55.296317,2025-10-06T11:47:55.296317,Molienda,Molienda,131,797,11.25,0,,4,
L-1002,2025-10-06T12:05:55.296317,2025-10-06T12:30:55.296317,Control-Calidad-Molienda,Molienda,25,864,9.92,0,,4,
L-1002,2025-10-06T12:43:55.296317,2025-10-06T13:03:55.296317,Preparacion-Dosificacion,Envasado,20,959,11.73,0,,2,
L-1002,2025-10-06T13:16:55.296317,2025-10-06T13:56:55.296317,Sellado-Etiquetado,Envasado,40,843,11.93,0,,2,
